cell_type,concentration,n_distinguishable,top_markers
1,0.0011964301412374049,3,"[809, 225, 1022, 521, 852, 21, 316, 1132, 27, 801]"
1,0.0013971894723352873,4,"[65, 1022, 809, 521, 852, 21, 316, 1132, 27, 801]"
1,0.001631635942893885,4,"[669, 809, 1022, 521, 852, 21, 316, 1132, 27, 801]"
1,0.0019054222085523648,7,"[65, 809, 1022, 521, 852, 21, 316, 1132, 27, 801]"
1,0.002225149432786609,7,"[669, 1022, 809, 521, 852, 21, 316, 1132, 27, 801]"
1,0.002598526445218819,13,"[669, 809, 1022, 521, 852, 21, 316, 1132, 27, 801]"
1,0.003034555606472433,14,"[815, 1022, 809, 521, 852, 21, 316, 1132, 27, 801]"
1,0.0035437498608938797,21,"[809, 1022, 815, 852, 521, 21, 316, 1132, 27, 801]"
1,0.004138386210422373,24,"[669, 809, 815, 521, 852, 21, 316, 1132, 27, 801]"
1,0.0048328017210261245,28,"[669, 809, 1022, 521, 852, 21, 316, 1132, 27, 801]"
1,0.005643739198611264,32,"[669, 1022, 809, 521, 852, 21, 316, 1132, 27, 801]"
1,0.006590750868872473,36,"[669, 809, 1022, 521, 852, 21, 316, 1132, 27, 801]"
1,0.007696669794067008,43,"[815, 809, 1022, 521, 852, 21, 316, 1132, 27, 801]"
1,0.008988160392874619,46,"[65, 1022, 809, 521, 852, 21, 316, 1132, 27, 801]"
1,0.010496361336732254,50,"[815, 1022, 809, 521, 852, 21, 316, 1132, 27, 801]"
1,0.012257636323289026,54,"[815, 1022, 809, 521, 852, 21, 316, 1132, 27, 801]"
1,0.014314450828613578,54,"[815, 1022, 809, 521, 852, 21, 316, 1132, 27, 801]"
1,0.01671639597721523,54,"[815, 1022, 809, 521, 852, 21, 316, 1132, 27, 801]"
1,0.019521384216045566,55,"[65, 1022, 809, 521, 852, 21, 316, 1132, 27, 801]"
1,0.022797045620951938,55,"[815, 809, 1022, 521, 852, 21, 316, 1132, 27, 801]"
1,0.026622358501432165,55,"[815, 809, 1022, 521, 852, 21, 316, 1132, 27, 801]"
1,0.031089553618622864,55,"[815, 1022, 809, 521, 852, 21, 316, 1132, 27, 801]"
1,0.03630633792844572,55,"[669, 809, 1022, 521, 852, 21, 316, 1132, 27, 801]"
1,0.042398491465793026,55,"[815, 1022, 809, 521, 852, 21, 316, 1132, 27, 801]"
1,0.04951289998230568,55,"[815, 809, 1022, 521, 852, 21, 316, 1132, 27, 801]"
1,0.05782109645659659,55,"[809, 815, 1022, 521, 852, 21, 316, 1132, 27, 801]"
1,0.06752339686501559,55,"[65, 809, 1022, 521, 852, 21, 316, 1132, 27, 801]"
1,0.0788537299290565,55,"[669, 1022, 809, 521, 852, 21, 316, 1132, 27, 801]"
1,0.09208527728773268,55,"[815, 1022, 809, 521, 852, 21, 316, 1132, 27, 801]"
1,0.10753706008311428,55,"[815, 809, 1022, 852, 521, 21, 316, 1132, 27, 801]"
