dilution,mse,rmse,ratio_error,relative_error,mean_pred,median_pred,std_pred,n_samples,overall_r2
0.0,4.4779109483348256e-05,0.0066917194713577354,inf,inf,0.0064131483,0.006177935,0.0019106657,100,0.7514391286308061
0.0001,4.425970176646654e-05,0.0066527965372816375,36.817008793354034,63.30429,0.006430428,0.0058064098,0.002045818,100,0.7514391286308061
0.001,4.2439629335493425e-05,0.006514570541140331,3.156701639294624,6.068081,0.0070680813,0.006738614,0.002370236,100,0.7514391286308061
0.005,2.1751273117229593e-05,0.004663826017041115,0.03331510722637168,0.67219573,0.008218785,0.0071409075,0.0033750103,100,0.7514391286308061
0.01,2.6748938329386398e-05,0.005171937579803762,0.38346091657876963,0.36823028,0.010483669,0.009500336,0.005149272,100,0.7514391286308061
0.05,0.00026832698913147805,0.01638068951941517,0.45067405700683594,0.27716783,0.046703864,0.044361293,0.016045637,100,0.7514391286308061
0.1,0.0003446379032707834,0.018564425745785495,0.37254780530929565,0.13759646,0.10669236,0.10515338,0.017316183,100,0.7514391286308061
